2020-08-12,315,"['128', '130']"
2020-08-29,529,['155']
2020-08-29,1148,"['12', '154', '161']"
2020-08-29,428,['161']
2020-08-20,1562,['162']
2020-08-21,392,"['128', '154']"
2020-08-18,686,['134']
2020-08-15,207,['132']
2020-08-29,459,"['151', '164']"
2020-08-16,133,"['146', '151']"
2020-08-27,1266,['155']
2020-08-24,973,['128']
2020-08-22,1007,"['15', '156']"
2020-08-25,267,['161']
2020-08-17,480,"['21', '154', '161']"
2020-08-23,749,['157']
2020-08-25,718,['154']
2020-08-29,714,['164']
2020-08-12,295,"['128', '135', '140', '140', '156']"
2020-08-29,1253,"['12', '107', '154']"
2020-08-23,1390,['129']
2020-08-27,1282,['134']
2020-08-25,1134,['128']
2020-08-15,332,['128']
2020-08-28,62,['159']
2020-08-28,357,"['129', '131']"
2020-08-22,413,['170']
2020-08-28,811,"['18', '74', '108']"
2020-08-22,353,['130']
2020-08-30,1455,['169']
2020-08-21,1173,['12']
2020-08-25,724,"['12', '14', '155']"
2020-08-23,1404,['162']
2020-08-28,589,"['124', '124']"
2020-08-17,632,['130']
2020-08-12,46,"['12', '135']"
2020-08-13,107,"['151', '151']"
2020-08-25,16,"['14', '46']"
2020-08-27,174,"['139', '151', '166']"
2020-08-17,757,"['151', '164']"
2020-08-29,795,['124']
2020-08-24,406,"['128', '130']"
2020-08-28,603,"['154', '154']"
2020-08-19,991,"['134', '135', '140', '154']"
2020-08-23,744,"['128', '154']"
2020-08-13,20,['163']
2020-08-25,285,['161']
2020-08-21,804,"['128', '155']"
2020-08-27,467,"['107', '107', '124']"
2020-08-17,791,['148']
2020-08-20,1478,['161']
2020-08-21,748,['154']
2020-08-25,661,['123']
2020-08-28,386,['135']
2020-08-25,106,['161']
2020-08-24,812,['154']
2020-08-20,112,"['154', '160']"
2020-08-29,1320,"['15', '18']"
2020-08-25,43,"['146', '151']"
2020-08-23,500,"['155', '161']"
2020-08-24,677,['128']
2020-08-16,215,"['128', '130', '135', '156']"
2020-08-19,912,"['156', '167']"
2020-08-16,420,"['128', '134', '155', '155']"
2020-08-16,331,"['128', '156', '163']"
2020-08-20,79,"['134', '163']"
2020-08-29,507,"['12', '154', '169']"
2020-08-27,528,['169']
2020-08-15,223,"['151', '155', '164']"
2020-08-28,743,"['154', '169']"
2020-08-25,1000,"['15', '157']"
2020-08-25,1201,"['128', '140']"
2020-08-17,270,['155']
2020-08-23,861,['128']
2020-08-18,1121,['134']
2020-08-26,1222,['138']
2020-08-29,1349,['170']
2020-08-24,844,"['133', '155']"
2020-08-19,1092,"['129', '134', '154', '161']"
2020-08-27,1140,"['128', '156']"
2020-08-15,182,['12']
2020-08-20,731,"['108', '108', '128']"
2020-08-20,163,['154']
2020-08-22,333,"['146', '148']"
2020-08-21,1006,['140']
2020-08-26,1316,['159']
2020-08-22,1033,"['135', '154']"
2020-08-22,971,['128']
2020-08-27,925,"['138', '160']"
2020-08-21,48,"['2', '169']"
2020-08-17,437,['128']
2020-08-22,1165,"['15', '74', '156']"
2020-08-27,1255,['138']
2020-08-18,1105,"['156', '169']"
2020-08-18,213,['161']
2020-08-27,648,['124']
2020-08-29,158,['154']
2020-08-26,736,"['130', '155']"
2020-08-26,511,['129']
2020-08-20,357,['163']
2020-08-25,748,"['124', '154']"
2020-08-18,384,"['16', '161']"
2020-08-27,901,"['14', '130']"
2020-08-21,201,['154']
2020-08-27,325,['124']
2020-08-17,77,"['128', '168']"
2020-08-18,861,"['12', '158']"
2020-08-17,286,['160']
2020-08-28,522,['124']
2020-08-29,1044,['156']
2020-08-28,76,['157']
2020-08-17,419,['128']
2020-08-20,762,['123']
2020-08-25,678,"['124', '148', '156']"
2020-08-25,1186,"['128', '140']"
2020-08-28,792,['133']
2020-08-22,813,['46']
2020-08-21,831,['161']
2020-08-18,735,['12']
2020-08-19,582,['123']
2020-08-24,1372,"['123', '130']"
2020-08-22,116,['148']
2020-08-26,1137,['138']
2020-08-26,763,"['128', '155']"
2020-08-27,726,"['132', '154']"
2020-08-26,33,['51']
2020-08-27,84,['130']
2020-08-18,624,['156']
2020-08-15,41,"['134', '161']"
2020-08-19,1347,"['163', '167', '169']"
2020-08-27,1295,['138']
2020-08-30,1510,['139']
2020-08-20,794,"['151', '155', '166']"
2020-08-27,449,"['124', '138', '151', '164']"
2020-08-29,167,"['151', '164']"
2020-08-29,296,"['12', '170']"
2020-08-22,808,['26']
2020-08-19,948,['161']
2020-08-17,657,"['12', '12', '128', '130']"
2020-08-19,577,"['151', '154']"
2020-08-21,993,['123']
2020-08-13,340,"['107', '159']"
2020-08-24,1509,['161']
2020-08-20,1487,['134']
2020-08-14,175,"['146', '151', '156']"
2020-08-12,127,"['128', '130', '154']"
2020-08-13,377,['51']
2020-08-15,139,"['128', '130']"
2020-08-23,438,"['148', '155']"
2020-08-19,773,"['133', '134']"
2020-08-24,1330,['107']
2020-08-29,11,"['107', '123', '159']"
2020-08-16,235,['16']
2020-08-28,761,['134']
2020-08-19,1146,['151']
2020-08-24,190,"['128', '155']"
2020-08-22,670,"['2', '130']"
2020-08-22,562,"['107', '128', '159']"
2020-08-14,301,"['128', '128']"
2020-08-21,1184,['156']
2020-08-29,197,['151']
2020-08-23,1143,['134']
2020-08-25,1008,['123']
2020-08-28,594,['18']
2020-08-17,147,['161']
2020-08-27,117,"['154', '159']"
2020-08-17,772,['167']
2020-08-15,312,"['130', '154', '156', '165']"
2020-08-12,268,"['132', '159', '159', '159']"
2020-08-13,62,['139']
2020-08-27,856,['135']
2020-08-29,316,"['124', '159']"
2020-08-22,719,"['2', '130']"
2020-08-24,280,['151']
2020-08-30,1376,['154']
2020-08-25,869,['170']
2020-08-23,490,"['14', '148', '151']"
2020-08-15,243,['134']
2020-08-13,395,"['16', '16', '51', '107', '139']"
2020-08-18,817,['160']
2020-08-23,428,['148']
2020-08-22,292,"['25', '25']"
2020-08-19,1068,['107']
2020-08-28,21,['163']
2020-08-26,199,['157']
2020-08-12,219,['155']
2020-08-12,31,"['12', '135', '156']"
2020-08-29,1066,['138']
2020-08-26,650,['155']
2020-08-22,505,"['128', '156']"
2020-08-17,48,"['146', '148', '151', '154', '155', '156', '164']"
2020-08-19,435,"['151', '164']"
2020-08-12,162,['156']
2020-08-19,1276,"['12', '148']"
2020-08-24,1113,['128']
2020-08-14,248,"['151', '164']"
2020-08-27,227,['138']
2020-08-17,313,"['107', '155', '167']"
2020-08-23,708,['161']
2020-08-12,78,['16']
2020-08-26,843,"['128', '155']"
2020-08-19,410,['163']
2020-08-15,163,['154']
2020-08-23,8,"['51', '107', '160']"
2020-08-29,1042,['124']
2020-08-23,1210,['131']
2020-08-26,1317,['156']
2020-08-20,459,['154']
2020-08-29,1214,"['12', '124', '139']"
2020-08-30,1526,['170']
2020-08-18,540,"['151', '156', '164']"
2020-08-18,158,['163']
2020-08-24,1268,"['19', '107', '160']"
2020-08-21,684,['159']
2020-08-16,377,['128']
2020-08-12,284,['139']
2020-08-28,897,['107']
2020-08-22,918,['148']
2020-08-28,155,['169']
2020-08-24,553,"['128', '155']"
2020-08-17,110,"['151', '164', '164']"
2020-08-19,878,['135']
2020-08-26,1042,"['128', '154', '155']"
2020-08-17,383,"['15', '107']"
2020-08-29,470,"['14', '169']"
