itemID,quantity,absHour,price,studGroup,tID,rating
134,2,16,15.0,B1,7,2
151,3,16,12.0,B1,8,3
154,1,16,22.0,B1,4,3
156,1,16,30.0,B1,6,2
159,5,16,20.0,F6,3,5
163,1,17,20.0,F3,2,1
168,1,16,27.0,F2,3,2
169,1,17,25.0,F2,3,4
169,1,16,25.0,F2,2,2
169,1,17,25.0,F2,2,2
170,3,16,20.0,B1,2,2
172,1,18,80.0,F3,1,3
178,1,16,40.0,B1,1,2
182,1,17,95.0,F2,1,2
2,1,17,8.0,F2,3,2
2,1,17,8.0,F2,1,1
2,1,17,8.0,F3,1,3
2,1,17,8.0,F2,1,2
2,2,17,8.0,F2,1,4
2,2,17,8.0,F3,1,2
2,2,17,8.0,F2,1,4
2,2,17,8.0,F3,1,2
2,2,17,8.0,F1,1,4
2,2,16,8.0,F4,1,5
2,2,17,8.0,F3,1,3
2,2,17,8.0,F4,1,4
2,2,17,8.0,F2,1,4
2,2,17,8.0,F3,1,2
2,2,17,8.0,F2,1,3
2,2,17,8.0,F2,1,5
2,3,17,8.0,F0,1,3
2,5,17,8.0,F2,1,3
21,1,17,30.0,F2,1,4
21,1,17,30.0,F0,1,4
22,1,17,15.0,F0,1,1
26,2,17,5.0,F2,1,3
45,1,17,10.0,F2,3,1
76,1,17,30.0,F0,2,2
76,1,17,30.0,F2,2,4
76,1,17,30.0,F2,1,3
107,1,17,10.0,F4,2,3
108,1,17,20.0,F2,2,5
108,1,17,20.0,F2,2,3
123,1,16,8.0,F6,1,2
123,1,17,8.0,F1,2,5
123,1,16,8.0,F4,2,3
123,1,17,8.0,F3,1,5
123,1,17,8.0,F3,2,3
123,1,17,8.0,F2,2,5
123,1,17,8.0,F3,2,5
123,1,17,8.0,F2,2,1
123,2,17,8.0,F2,2,5
152,1,18,15.0,F4,1,2
155,1,16,27.0,B1,1,2
156,1,17,30.0,F0,1,3
156,1,16,30.0,F4,3,4
157,1,17,32.0,F0,1,5
163,1,17,20.0,F3,1,4
163,1,17,20.0,F3,1,1
169,1,17,25.0,F0,3,3
169,1,18,25.0,F4,2,4
169,1,16,25.0,F6,2,4
170,1,17,20.0,F2,2,3
179,1,17,23.0,F0,2,2
2,1,16,8.0,F2,1,2
2,1,17,8.0,F2,1,2
2,1,17,8.0,F4,1,2
2,1,17,8.0,F4,1,1
2,1,17,8.0,F2,1,1
2,1,17,8.0,F4,2,2
