2020-09-09,1116,['138']
2020-09-22,1830,"['93', '169']"
2020-09-09,574,['154']
2020-09-22,1791,"['26', '100', '156', '156', '173', '176']"
2020-09-15,484,['154']
2020-09-16,829,"['128', '156']"
2020-09-23,1284,"['76', '169']"
2020-09-08,219,['154']
2020-09-03,573,['169']
2020-09-14,1433,"['134', '151', '156']"
2020-09-28,98,['2']
2020-09-18,1557,"['12', '134', '154', '156']"
2020-09-26,1687,['164']
2020-09-18,674,"['18', '93', '169']"
2020-09-24,705,"['128', '130', '169']"
2020-09-22,657,"['93', '154', '156']"
2020-09-12,55,['14']
2020-09-25,1231,"['76', '135']"
2020-09-28,1475,"['131', '154', '186']"
2020-09-20,2024,"['76', '128']"
2020-09-01,1287,"['12', '76', '93', '146', '148', '151', '154', '157', '164']"
2020-09-25,1359,"['12', '76', '100', '154']"
2020-09-15,116,"['146', '151']"
2020-09-24,250,"['129', '132']"
2020-09-11,1421,"['108', '130', '159']"
2020-09-24,483,"['26', '46', '129']"
2020-09-08,496,['76']
2020-09-12,745,['76']
2020-09-21,311,['183']
2020-09-26,944,['142']
2020-09-21,1666,"['18', '21']"
2020-09-23,25,"['123', '169']"
2020-09-25,1454,"['76', '108', '135', '156']"
2020-09-01,171,"['22', '154']"
2020-09-06,421,['128']
2020-09-07,280,['20']
2020-09-15,774,"['107', '128', '154']"
2020-09-01,1354,['124']
2020-09-23,127,"['19', '76']"
2020-09-28,1651,"['128', '134', '154']"
2020-09-16,808,['128']
2020-09-28,910,['164']
2020-09-11,157,"['130', '138', '151', '164']"
2020-09-18,1093,"['146', '151', '154']"
2020-09-23,1628,['93']
2020-09-09,1024,['128']
2020-09-08,975,['134']
2020-09-12,1225,['156']
2020-09-29,820,['76']
2020-09-29,526,['134']
2020-09-28,582,"['142', '169']"
2020-09-20,1200,['155']
2020-09-11,1009,['74']
2020-09-03,56,"['76', '123', '154']"
2020-09-28,879,['76']
2020-09-03,888,"['4', '156']"
2020-09-06,379,"['151', '164']"
2020-09-08,1505,['74']
2020-09-10,312,['139']
2020-09-27,1743,"['107', '134']"
2020-09-16,385,['134']
2020-09-18,516,"['128', '134']"
2020-09-04,164,['156']
2020-09-07,566,"['76', '156']"
2020-09-22,231,['123']
2020-09-23,907,"['100', '107']"
2020-09-14,530,"['148', '151']"
2020-09-17,781,"['130', '170']"
2020-09-12,708,['169']
2020-09-16,527,['76']
2020-09-26,1213,['128']
2020-09-27,980,"['134', '154']"
2020-09-04,183,"['133', '154']"
2020-09-29,1262,['138']
2020-09-26,2075,"['22', '22', '76']"
2020-09-09,782,['22']
2020-09-01,904,"['15', '124', '156']"
2020-09-01,260,['123']
2020-09-01,419,"['154', '161']"
2020-09-15,267,['146']
2020-09-29,1113,"['18', '20', '107', '168']"
2020-09-17,1869,['154']
2020-09-10,838,"['18', '93', '128']"
2020-09-29,2258,['76']
2020-09-26,769,['134']
2020-09-13,1553,"['12', '139', '156']"
2020-09-05,1187,['128']
2020-09-29,547,['169']
2020-09-18,755,['128']
2020-09-05,875,"['128', '155']"
2020-09-29,1812,['135']
2020-09-27,235,"['26', '100', '105']"
2020-09-12,1689,['107']
2020-09-15,95,"['123', '169']"
2020-09-04,1084,['154']
2020-09-20,1807,['134']
2020-09-19,863,['76']
2020-09-25,1169,['12']
2020-09-03,642,"['4', '74']"
2020-09-08,554,"['148', '151', '166']"
2020-09-14,397,"['128', '154']"
2020-09-20,485,['130']
2020-09-28,1749,['128']
2020-09-18,934,"['93', '128', '169']"
2020-09-29,496,['2']
2020-09-22,623,['156']
2020-09-19,684,"['12', '134']"
2020-09-03,569,"['161', '169']"
2020-09-18,1668,['128']
2020-09-09,12,['2']
2020-09-10,89,['152']
2020-09-15,350,"['128', '159']"
2020-09-15,1562,['128']
2020-09-22,1218,"['128', '154']"
2020-09-03,175,['138']
2020-09-02,548,"['124', '124', '130', '134', '138', '139', '148', '156']"
2020-09-17,362,['130']
2020-09-16,1269,"['128', '139', '141']"
2020-09-22,1800,"['76', '182']"
2020-09-27,504,"['20', '142']"
2020-09-09,1456,"['130', '169']"
2020-09-23,199,['76']
2020-09-09,619,"['12', '151']"
2020-09-20,331,"['151', '177']"
2020-09-25,1305,"['128', '128', '138']"
2020-09-18,1531,"['134', '155']"
2020-09-04,142,['154']
2020-09-23,66,['2']
2020-09-28,730,['148']
2020-09-24,1086,['134']
2020-09-11,1335,"['128', '128', '128']"
2020-09-21,1443,"['12', '128', '134']"
2020-09-10,76,['170']
2020-09-20,101,['169']
2020-09-12,1630,['134']
2020-09-22,1492,['76']
2020-09-14,554,['154']
2020-09-15,680,['128']
2020-09-21,734,"['154', '154']"
2020-09-17,671,"['128', '151', '164']"
2020-09-24,1002,['130']
2020-09-06,229,"['151', '164']"
2020-09-02,189,['154']
2020-09-18,525,['151']
2020-09-19,815,['130']
2020-09-14,1167,['74']
2020-09-20,926,['136']
2020-09-05,1551,['130']
2020-09-11,202,"['76', '148']"
2020-09-27,320,"['142', '169']"
2020-09-21,85,['2']
2020-09-26,1171,['154']
2020-09-14,1330,['154']
2020-09-18,82,"['2', '2', '123']"
2020-09-28,1063,"['142', '148', '151']"
2020-09-18,1369,"['128', '146', '151']"
2020-09-29,195,['182']
2020-09-02,1135,"['12', '151', '159', '164']"
2020-09-12,998,"['128', '154']"
2020-09-20,1986,['135']
2020-09-28,1728,"['26', '107', '154']"
2020-09-26,1388,"['107', '185']"
2020-09-10,637,"['22', '161']"
2020-09-09,866,"['146', '151']"
2020-09-16,1133,"['93', '107', '141', '169']"
2020-09-09,1327,"['154', '156']"
2020-09-29,698,"['128', '154']"
2020-09-24,102,"['2', '170', '176']"
2020-09-07,1078,"['74', '128', '128', '130', '135', '156', '156']"
2020-09-27,1602,['156']
2020-09-04,66,"['2', '123']"
