"('F1182', 1)","['107', '156']"
"('F3219', 1)","['128', '154']"
"('F3259', 9)","['15', '128', '156']"
"('F2407', 3)","['161', '174']"
"('F4720', 6)","['132', '15', '18']"
"('F2540', 2)","['133', '154', '74', '154', '130', '169']"
"('F3103', 5)",['134']
"('F2681', 1)","['15', '18', '154', '170', '124', '161', '170']"
"('F3507', 1)","['146', '151']"
"('F1213', 1)",['156']
"('F2318', 6)","['128', '154']"
"('F1051', 4)",['12']
"('F4536', 3)","['74', '124']"
"('F5806', 6)","['151', '164']"
"('F3874', 5)","['151', '164', '151', '155', '166', '154', '161', '154', '134', '154']"
"('F3397', 1)",['154']
"('F2310', 3)",['173']
"('F4167', 3)","['159', '160']"
"('F4675', 3)",['162']
"('F4494', 2)",['128']
"('F5548', 5)","['148', '151', '155']"
"('F4178', 5)","['138', '170', '154']"
"('F3887', 7)","['12', '124']"
"('F3171', 3)","['130', '163', '19', '163', '154', '160']"
"('F2286', 5)","['14', '154', '128', '123', '159']"
"('F3713', 13)","['123', '159']"
"('F2260', 5)","['12', '154']"
"('F4260', 8)","['128', '155']"
"('F3764', 2)","['135', '146', '148', '151', '156', '140', '151', '154', '156', '151', '154']"
"('F3129', 2)","['51', '155']"
"('F3865', 3)","['51', '155', '123', '134', '123', '128']"
"('F2773', 5)",['169']
"('F1787', 1)","['135', '154', '148', '155']"
"('F3744', 3)","['151', '155']"
"('F3556', 1)","['151', '164', '161']"
"('F4771', 5)","['15', '46', '155']"
"('F2595', 11)","['155', '156', '159', '169', '107']"
"('F3143', 1)",['123']
"('F1400', 1)","['50', '159']"
"('F5709', 2)","['148', '155', '131', '131']"
"('F4680', 1)",['140']
"('F3742', 9)","['138', '138', '157', '170', '170', '171', '168']"
"('F2383', 2)",['135']
"('F4444', 2)","['107', '154']"
"('F2422', 4)","['154', '155']"
"('H1116', 1)",['138']
"('F4303', 7)","['107', '128', '154']"
"('F2360', 2)",['154']
"('F1558', 1)",['107']
"('F2173', 9)","['146', '151', '156']"
"('F3215', 4)",['154']
"('F3271', 1)","['160', '169']"
"('F2199', 12)","['107', '154', '124', '124', '154', '155']"
"('F2824', 4)",['161']
"('F3543', 7)",['108']
"('F2219', 5)","['124', '171']"
"('F2700', 4)","['154', '158', '173']"
"('F3359', 4)",['154']
"('F3047', 2)","['159', '163']"
"('F2541', 4)","['129', '154']"
"('F3005', 2)","['161', '108']"
"('F3576', 1)",['135']
"('F4287', 4)","['124', '155', '130']"
"('F1019', 8)","['124', '161']"
"('F1770', 1)",['156']
"('F2500', 2)",['134']
"('F2498', 2)","['128', '148', '155']"
"('F5726', 2)","['135', '156']"
"('F2081', 19)","['148', '154', '169', '156', '169']"
"('F1857', 2)","['124', '151', '74']"
"('F5538', 1)","['12', '167']"
"('F2533', 13)",['154']
"('F2509', 8)",['155']
"('F2625', 9)",['156']
"('F3390', 7)","['151', '161']"
"('F3674', 4)","['138', '138']"
"('F2924', 6)","['2', '128', '154', '15', '107', '159']"
"('F2524', 5)","['124', '155', '123', '138']"
"('F3802', 6)","['155', '168']"
"('F2411', 6)","['155', '157']"
"('F3385', 2)","['46', '154', '167']"
"('F4004', 1)","['146', '151', '167']"
"('F2945', 8)","['124', '134', '154', '155']"
"('F3299', 1)","['146', '151']"
"('F3817', 6)",['148']
"('F4071', 5)",['138']
"('F3661', 6)",['148']
"('F2636', 3)","['134', '123', '128']"
"('F3458', 5)","['128', '154']"
"('F3621', 6)",['159']
"('F2586', 7)","['155', '124', '108']"
"('F4353', 9)",['12']
"('F4077', 1)",['128']
"('F3737', 4)","['140', '161', '46']"
"('F2576', 5)",['124']
"('F2778', 2)",['148']
"('F4811', 1)","['151', '154', '164']"
"('F2494', 2)","['16', '46', '128', '128']"
"('F3527', 11)",['138']
"('F3471', 2)","['12', '128']"
"('F3345', 2)","['128', '169']"
"('F2496', 5)","['151', '154', '161']"
"('F3525', 7)","['146', '151', '151', '155', '164']"
"('F4763', 4)","['128', '154', '151', '155']"
"('F5259', 1)","['128', '156']"
"('F1140', 1)","['148', '155']"
"('F3204', 3)","['124', '161', '154', '161', '169', '159']"
"('F4358', 1)","['128', '154']"
"('F2299', 4)","['15', '130', '161']"
"('F4179', 7)","['128', '138']"
"('F4577', 1)",['135']
"('F3566', 11)",['154']
"('F2766', 2)",['138']
"('F4304', 5)",['155']
"('F4386', 3)","['128', '135', '155']"
"('F2758', 4)","['107', '156']"
"('F3315', 3)","['128', '154', '46', '156']"
"('F3584', 1)","['134', '156', '161']"
"('F1759', 1)",['154']
"('F2014', 3)",['148']
"('F3327', 1)","['108', '124', '169']"
"('F2295', 1)","['146', '151', '156', '155', '161', '154', '159']"
"('F2722', 5)","['134', '161']"
"('F4632', 5)","['128', '163']"
"('F2019', 6)","['128', '154']"
"('F2487', 8)",['161']
"('F3765', 9)",['154']
"('F3855', 4)","['146', '15', '19', '46', '108', '151']"
"('F2357', 7)",['156']
"('F4816', 5)",['159']
"('F2193', 4)","['151', '154', '161']"
"('F4361', 2)",['148']
"('F5475', 5)","['26', '123', '107']"
"('F2506', 2)","['124', '154']"
"('F2567', 7)","['140', '156']"
"('F1030', 1)","['135', '155']"
"('F4147', 10)","['138', '160']"
"('F1038', 1)",['154']
"('F4470', 1)","['154', '156']"
"('F3272', 5)","['130', '134', '155']"
"('F4327', 1)","['26', '124', '124', '169']"
"('F2082', 3)","['134', '159', '162']"
"('F4257', 6)","['108', '128', '156']"
"('F3217', 3)",['154']
"('F4788', 4)","['151', '164', '151', '154']"
"('F2116', 3)","['2', '123']"
"('F5472', 1)","['128', '156', '168']"
"('F3692', 4)","['146', '151', '156']"
"('F3566', 7)","['161', '161', '156']"
"('F3543', 9)",['74']
"('F3197', 1)","['128', '155', '128', '168']"
"('F4237', 1)","['15', '155']"
"('F2108', 1)","['161', '164', '161', '154']"
"('F2935', 10)",['128']
"('F2195', 4)","['146', '151', '156']"
"('F5800', 2)",['135']
"('F2102', 5)","['134', '154']"
"('F4124', 2)","['151', '164', '163', '19', '21', '128']"
"('F1126', 2)","['130', '159']"
"('F3306', 8)","['124', '154', '12']"
"('F2309', 5)","['154', '134']"
"('F4817', 2)","['135', '138']"
"('H2144', 3)","['146', '151', '154', '161']"
"('F2501', 6)","['12', '128', '156', '15']"
"('F2708', 8)",['154']
"('F4479', 2)","['21', '74']"
"('F0000', 10)","['134', '107', '159', '135', '151', '164', '12', '156', '133', '134', '156', '134', '159', '51', '154', '154', '134', '139', '12', '134', '134', '154', '139', '12', '156', '107', '154', '163', '16', '135', '16', '134', '107', '159', '156', '154', '129', '154', '154', '159', '139', '151', '156', '134', '156', '156', '12', '16', '154', '159', '159', '156', '154', '156', '161', '133', '134', '16', '134', '156', '160', '129', '129', '134', '135', '156', '159', '107', '134', '156', '134', '163', '133', '134', '156', '134', '151', '154', '164', '107', '154', '156', '161', '161', '134', '156', '161', '154', '12', '159', '134', '154', '12', '107', '135', '134', '161', '107', '163', '51', '16', '154', '161', '12', '12', '159', '139', '161', '159', '161', '12', '154', '16', '156', '12', '139', '156', '139', '12', '159', '12', '107', '161', '12', '156', '16', '16', '51', '107', '139', '134', '161', '159', '12', '134', '16', '16', '128', '134', '16', '128', '16', '128', '16', '128', '159', '128', '12', '128', '16', '128', '128', '157', '16', '151', '164', '12', '16', '128', '139', '16', '128', '134', '154', '161', '16', '154', '163', '128', '154', '128', '157', '156', '128', '128', '154', '163', '154', '16', '159', '128', '154', '163', '128', '154', '139', '16', '161', '161', '12', '158', '128', '161', '107', '128', '134', '156', '128', '159', '16', '12', '128', '134', '154', '159', '159', '156', '156', '159', '12', '16', '128', '128', '134', '154', '12', '154', '156', '157', '12', '107', '139']"
"('F3827', 1)","['128', '134', '46']"
"('F2081', 1)","['154', '155', '130', '148', '155']"
"('F3247', 4)",['124']
"('F4768', 5)","['12', '124', '154', '171']"
"('F3694', 2)","['128', '163', '74']"
"('F3729', 6)","['128', '130', '130', '132', '154']"
"('F3175', 7)","['154', '154']"
"('F3497', 3)","['155', '167']"
"('F4565', 4)","['140', '154']"
"('F4489', 1)","['128', '134']"
"('F2582', 2)",['132']
"('F5165', 8)",['140']
"('F5806', 2)","['128', '154', '19']"
"('F2052', 9)","['146', '151', '155']"
"('F2275', 1)","['161', '162']"
"('F4703', 5)","['128', '140']"
"('F3512', 3)","['134', '163', '128']"
"('F3153', 6)","['169', '107']"
"('F2053', 4)",['12']
