"('F2539', 2)","['2', '179', '2', '74']"
"('F2307', 3)","['22', '124', '160']"
"('F1595', 1)",['76']
"('F1573', 6)",['154']
"('F5711', 2)",['135']
"('F2617', 19)","['129', '134', '151', '164', '130', '154', '22']"
"('F4774', 5)","['124', '154']"
"('F2042', 11)","['124', '161']"
"('F4544', 4)",['131']
"('F2494', 35)","['130', '135']"
"('F2559', 16)","['129', '129']"
"('F2203', 16)","['146', '151', '164']"
"('F4494', 15)","['2', '123', '179']"
"('F2173', 1)","['154', '186']"
"('F3429', 2)","['146', '151', '76', '142']"
"('F2343', 5)",['2']
"('F3632', 7)",['124']
"('F5737', 17)","['130', '154']"
"('F3519', 14)",['74']
"('F3055', 18)","['146', '151', '155']"
"('F2660', 9)",['124']
"('F2102', 4)","['2', '74']"
"('F3581', 4)","['128', '154', '132']"
"('F2019', 2)","['2', '107']"
"('F4116', 5)","['124', '14', '154']"
"('F2625', 12)",['169']
"('F1433', 9)","['134', '129']"
"('F2576', 9)","['1', '50', '187']"
"('F3245', 16)","['146', '151', '15', '142', '154', '169']"
"('F1812', 2)","['148', '154']"
"('F2331', 3)","['132', '154', '138']"
"('F1171', 6)","['12', '187']"
"('F2671', 7)",['142']
"('F2584', 7)","['138', '156']"
"('F5680', 9)","['74', '140', '142', '140']"
"('F4704', 9)","['129', '154', '155']"
"('F1696', 7)","['2', '156']"
"('F3678', 5)","['142', '74', '142']"
"('F2634', 16)","['21', '128', '134']"
"('F1374', 7)","['155', '169']"
"('F2113', 16)","['2', '123', '76']"
"('F4328', 2)","['169', '169', '169', '26']"
"('F3398', 9)",['140']
"('F3203', 19)",['142']
"('F4091', 6)","['160', '187']"
"('F1386', 10)",['134']
"('F3333', 2)","['134', '142', '175', '190']"
"('F3421', 3)","['22', '169']"
"('F2422', 14)","['2', '107', '107']"
"('F3485', 3)","['76', '100']"
"('F4818', 7)",['154']
"('F2618', 5)","['134', '138', '20', '138']"
"('F2345', 25)","['2', '123', '2']"
"('F3862', 7)","['164', '169']"
"('F1471', 7)","['2', '14', '14', '173']"
"('F3691', 2)",['130']
"('F1636', 8)","['128', '134']"
"('F2117', 2)","['14', '154']"
"('F5724', 3)",['2']
"('F3696', 1)","['76', '128', '132', '26', '26']"
"('F3593', 2)",['128']
"('F5581', 5)","['138', '128', '156']"
"('F2806', 16)","['128', '154', '15', '128']"
"('F1297', 5)","['12', '128', '138', '154', '159']"
"('F5695', 17)","['2', '123', '188']"
"('F3200', 8)","['74', '164', '139', '169']"
"('F2399', 3)","['2', '76']"
