2020-11-15,1182,"['93', '134']"
2020-11-25,1481,['134']
2020-11-17,269,['130']
2020-11-12,15,['188']
2020-11-08,1338,['140']
2020-11-23,635,['76']
2020-11-01,584,"['128', '134']"
2020-11-17,1372,['76']
2020-11-12,1448,['130']
2020-11-08,731,['76']
2020-11-08,296,"['146', '151']"
2020-11-17,976,['15']
2020-11-14,388,['76']
2020-11-09,433,"['107', '124']"
2020-11-13,762,"['14', '93']"
2020-11-25,1507,['25']
2020-11-21,1125,['15']
2020-11-05,106,['2']
2020-11-27,230,"['22', '167']"
2020-11-16,546,['169']
2020-11-08,542,"['1', '1', '128']"
2020-11-23,50,"['93', '188']"
2020-11-19,407,['165']
2020-11-10,808,['142']
2020-11-12,601,['138']
2020-11-06,469,['178']
2020-11-07,351,['141']
2020-11-22,352,"['76', '141', '151']"
2020-11-10,1020,['138']
2020-11-30,1766,['107']
2020-11-21,1138,['128']
2020-11-26,494,['134']
2020-11-10,385,['135']
2020-11-20,1193,"['134', '135']"
2020-11-15,1432,"['128', '135']"
2020-11-11,740,['134']
2020-11-13,1365,['1']
2020-11-08,200,"['151', '177']"
2020-11-22,340,['48']
2020-11-19,143,['170']
2020-11-15,23,['2']
2020-11-11,519,['142']
2020-11-28,1542,['135']
2020-11-24,606,"['18', '107']"
2020-11-09,1027,['194']
2020-11-17,579,"['2', '15']"
2020-11-23,522,['151']
2020-11-24,764,"['21', '107', '142', '154']"
2020-11-28,729,['130']
2020-11-13,189,"['146', '151', '177']"
2020-11-13,958,"['129', '186']"
2020-11-05,645,"['107', '135']"
2020-11-25,795,['139']
2020-11-18,1211,"['1', '26', '93']"
2020-11-19,248,['130']
2020-11-12,7,['2']
2020-11-05,683,"['129', '130', '146']"
2020-11-22,1512,['154']
2020-11-16,272,"['130', '132', '135', '154']"
2020-11-19,337,['188']
2020-11-07,365,"['76', '142']"
2020-11-29,1165,['21']
2020-11-19,1578,['132']
2020-11-29,893,['76']
2020-11-25,205,"['128', '154']"
2020-11-15,211,['2']
2020-11-11,350,"['146', '151']"
2020-11-15,429,"['146', '151', '151']"
2020-11-24,1631,['134']
2020-11-01,544,['130']
2020-11-24,1557,['93']
2020-11-20,969,['107']
2020-11-24,1825,['128']
2020-11-28,477,['154']
2020-11-17,1275,['128']
2020-11-07,729,['132']
2020-11-29,1736,['142']
2020-11-14,1059,['142']
2020-11-19,1786,['130']
