BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating
3,123,1,2020-08-29 17:24:30,8.000000,"F4556",1,1
3,123,2,2020-08-23 17:06:30,8.000000,"F2451",1,2
3,140,1,2020-08-11 20:28:08,26.000000,"F0000",1,1
3,155,1,2020-08-16 18:31:02,27.000000,"F0000",1,4
3,155,1,2020-08-26 17:08:01,27.000000,"F2126",1,2
3,155,1,2020-08-27 17:06:28,27.000000,"F3787",1,2
3,156,1,2020-08-25 17:07:06,30.000000,"F4268",2,5
3,159,1,2020-08-17 17:22:27,20.000000,"F3383",2,2
3,159,1,2020-08-22 17:08:43,20.000000,"F3340",1,3
3,167,1,2020-08-18 17:24:40,10.000000,"F2423",3,1
3,169,3,2020-08-28 16:56:30,25.000000,"F2296",1,1
4,2,1,2020-08-18 17:24:50,8.000000,"F4437",1,3
4,2,1,2020-08-19 17:12:32,8.000000,"F3138",1,3
4,2,1,2020-08-22 17:17:09,8.000000,"F3493",1,3
4,2,2,2020-08-20 17:20:34,8.000000,"F3859",1,4
4,12,2,2020-08-11 20:29:33,30.000000,"F0000",1,2
4,15,1,2020-08-16 18:50:58,35.000000,"F0000",2,4
4,25,1,2020-08-28 17:11:48,10.000000,"F2018",2,1
4,25,1,2020-08-29 17:24:40,10.000000,"F4494",1,1
4,26,3,2020-08-27 17:06:45,5.000000,"F2777",2,5
4,45,1,2020-08-28 17:11:48,10.000000,"F2018",1,1
4,46,1,2020-08-23 17:29:52,18.000000,"F4202",2,3
4,51,1,2020-08-17 17:24:17,15.000000,"F0000",1,5
4,51,1,2020-08-23 17:29:52,15.000000,"F4202",1,2
4,107,1,2020-08-17 17:24:17,10.000000,"F0000",2,2
4,107,1,2020-08-23 17:06:45,10.000000,"F2451",1,5
4,107,1,2020-08-27 17:06:45,10.000000,"F2777",1,2
4,107,2,2020-08-11 20:29:33,10.000000,"F0000",3,2
4,107,2,2020-08-16 18:50:58,10.000000,"F0000",1,5
4,123,1,2020-08-23 17:29:52,8.000000,"F4202",3,3
4,123,1,2020-08-25 17:07:11,8.000000,"F4277",1,2
4,123,1,2020-08-29 17:24:40,8.000000,"F4494",2,2
4,139,1,2020-08-11 20:29:33,21.000000,"F0000",2,1
4,148,1,2020-08-14 19:58:10,90.000000,"F0000",2,4
4,151,2,2020-08-15 20:03:05,12.000000,"F0000",2,4
4,155,1,2020-08-14 19:58:10,27.000000,"F0000",1,2
4,156,1,2020-08-12 18:41:04,30.000000,"F0000",1,5
4,159,1,2020-08-13 18:05:24,20.000000,"F0000",1,2
4,160,1,2020-08-24 17:09:34,25.000000,"F3493",1,2
4,163,1,2020-08-18 17:24:50,20.000000,"F4437",2,5
4,164,1,2020-08-15 20:03:05,81.000000,"F0000",1,3
4,170,1,2020-08-19 17:12:32,20.000000,"F3138",2,4
4,170,1,2020-08-21 17:06:56,20.000000,"F2801",1,2
5,2,1,2020-08-21 17:07:10,8.000000,"F2452",2,1
5,2,2,2020-08-19 17:12:36,8.000000,"F3209",1,1
5,2,2,2020-08-20 17:20:46,8.000000,"F3713",1,3
5,2,2,2020-08-22 17:17:14,8.000000,"F3787",1,3
5,16,1,2020-08-16 18:53:06,5.000000,"F0000",1,1
5,25,6,2020-08-29 17:25:04,10.000000,"F6770",2,3
5,26,24,2020-08-29 17:25:04,5.000000,"F6770",1,2
5,46,1,2020-08-23 17:08:51,18.000000,"F2036",2,2
5,50,1,2020-08-28 17:12:27,20.000000,"F2025",2,4
5,107,1,2020-08-12 18:56:38,10.000000,"F0000",1,5
5,107,1,2020-08-23 17:08:51,10.000000,"F2036",1,4
5,107,4,2020-08-29 17:25:04,10.000000,"F6770",3,3
5,123,1,2020-08-18 17:26:08,8.000000,"F2423",1,1
5,123,1,2020-08-19 17:12:36,8.000000,"F3209",2,5
5,123,1,2020-08-20 17:20:46,8.000000,"F3713",2,3
5,123,1,2020-08-23 17:29:56,8.000000,"F3326",1,2
5,123,1,2020-08-24 17:11:10,8.000000,"F3891",1,2
5,123,1,2020-08-25 17:09:59,8.000000,"F4479",1,5
5,123,2,2020-08-29 17:25:04,8.000000,"F6770",4,2
5,128,3,2020-08-14 19:59:45,25.000000,"F0000",1,4
5,130,1,2020-08-15 20:05:57,21.000000,"F0000",2,2
5,134,1,2020-08-14 19:59:45,15.000000,"F0000",3,1
5,140,1,2020-08-11 20:30:37,26.000000,"F0000",1,1
5,154,2,2020-08-15 20:05:57,22.000000,"F0000",1,2
5,155,1,2020-08-15 20:05:57,27.000000,"F0000",3,3
5,155,1,2020-08-27 17:10:09,27.000000,"F4774",1,4
5,156,1,2020-08-14 19:59:45,30.000000,"F0000",2,3
